title,url,height_cm,price_gbp,media,width_cm
Fragstudy 2 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-2-by-jim-cheatle,5 ,490.00,"https://static.wixstatic.com/media/23a2ed_61756c5df54141febd971d0b1edf00dd~mv2.jpg/v1/fill/w_935,h_1249,al_c,q_85/23a2ed_61756c5df54141febd971d0b1edf00dd~mv2.jpg", 23
Fragstudy 3 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-3-by-jim-cheatle,5 ,490.00,"https://static.wixstatic.com/media/23a2ed_d0e585f2c66444379d7bb673150fb275~mv2.jpg/v1/fill/w_935,h_1249,al_c,q_85/23a2ed_d0e585f2c66444379d7bb673150fb275~mv2.jpg", 23
Fragstudy 4 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-4-by-jim-cheatle,5 ,490.00,"https://static.wixstatic.com/media/23a2ed_6f4c679e4c054bb8b105c29bdd15f6c8~mv2.jpg/v1/fill/w_935,h_1249,al_c,q_85/23a2ed_6f4c679e4c054bb8b105c29bdd15f6c8~mv2.jpg", 23
Fragstudy 7 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-5-by-jim-cheatle,5 ,490.00,"https://static.wixstatic.com/media/23a2ed_2effe8912b79494082ae4f7574bd0eba~mv2.jpg/v1/fill/w_935,h_1249,al_c,q_85/23a2ed_2effe8912b79494082ae4f7574bd0eba~mv2.jpg", 23
Portal 5 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-5-by-jane-ward,,320.00,"https://static.wixstatic.com/media/23a2ed_d77d17e6aa7e42f697445a65d29e3709~mv2.jpg/v1/fill/w_850,h_850,al_c,q_85/23a2ed_d77d17e6aa7e42f697445a65d29e3709~mv2.jpg",
Portal 6 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-6-by-jane-ward,,320.00,"https://static.wixstatic.com/media/23a2ed_d3f85ae0668b449191364bbe8e97b142~mv2.jpg/v1/fill/w_850,h_850,al_c,q_85/23a2ed_d3f85ae0668b449191364bbe8e97b142~mv2.jpg",
Portal 7 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-7-by-jane-ward,,490.00,"https://static.wixstatic.com/media/23a2ed_d3cc8e121bb24c17bd0655fc287b2173~mv2.jpg/v1/fill/w_850,h_850,al_c,q_85/23a2ed_d3cc8e121bb24c17bd0655fc287b2173~mv2.jpg",
Portal 8 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-8-by-jane-ward,,490.00,"https://static.wixstatic.com/media/23a2ed_ef0a3433863e436084b57c4e315002d5~mv2.jpg/v1/fill/w_850,h_850,al_c,q_85/23a2ed_ef0a3433863e436084b57c4e315002d5~mv2.jpg",
Portal 9 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-9-by-jane-ward,,490.00,"https://static.wixstatic.com/media/23a2ed_0df8f12b3820475682b8177f8f6ebdd3~mv2.jpg/v1/fill/w_850,h_850,al_c,q_85/23a2ed_0df8f12b3820475682b8177f8f6ebdd3~mv2.jpg",
As The Tide Turned by Dominic Bradnum,https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,100cm ,"1,400.00","https://static.wixstatic.com/media/23a2ed_1b32d56d11df489085b3b0e8e9e97da9~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_1b32d56d11df489085b3b0e8e9e97da9~mv2.jpg", 80
You Took My Breath Away by Dominic Bradnum,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,40,640.00,"https://static.wixstatic.com/media/23a2ed_309017391ae941c7bd9206535ecf1886~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_309017391ae941c7bd9206535ecf1886~mv2.jpg",50
Balancing Acts I by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,7 ,400.00,"https://static.wixstatic.com/media/23a2ed_5f517ecd065447d99e97246e247830a0~mv2_d_1512_2016_s_2.jpg/v1/fill/w_996,h_1330,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_5f517ecd065447d99e97246e247830a0~mv2_d_1512_2016_s_2.jpg", 50
Balancing Acts II by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,7 ,400.00,"https://static.wixstatic.com/media/23a2ed_afa108efe9014d1e950a0d786654a2ef~mv2_d_1512_2016_s_2.jpg/v1/fill/w_996,h_1330,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_afa108efe9014d1e950a0d786654a2ef~mv2_d_1512_2016_s_2.jpg", 50
